date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2022-01-20,9925.0,9906.0,98725.0
2022-01-19,9801.0,9785.0,98750.0
2022-01-18,9707.0,9692.0,94525.0
2022-01-17,9674.5,9660.0,92850.0
2022-01-14,9900.0,9885.0,86300.0
2022-01-13,9972.0,9965.0,83800.0
2022-01-12,9945.0,9930.5,83850.0
2022-01-11,9662.0,9632.0,83925.0
2022-01-10,9665.0,9641.0,84025.0
2022-01-07,9615.0,9593.0,84775.0
2022-01-06,9565.0,9560.0,85950.0
2022-01-05,9778.0,9759.0,86950.0
2022-01-04,9660.0,9630.0,88725.0
2021-12-31,9692.0,9682.0,88950.0
2021-12-30,9715.0,9656.5,89375.0
2021-12-29,9655.0,9620.5,89100.0
2021-12-24,9582.0,9566.0,89275.0
2021-12-23,9606.0,9581.5,89125.0
2021-12-22,9625.0,9615.0,89400.0
2021-12-21,9521.0,9511.0,89925.0
2021-12-20,9406.0,9390.0,89000.0
2021-12-17,9520.0,9505.0,89150.0
2021-12-16,9506.0,9495.0,89475.0
2021-12-15,9290.0,9285.0,88650.0
2021-12-14,9485.0,9480.0,87375.0
2021-12-13,9500.0,9505.5,84450.0
2021-12-10,9543.0,9531.0,81775.0
2021-12-09,9578.0,9557.0,77925.0
2021-12-08,9555.5,9565.0,75175.0
2021-12-07,9647.0,9606.0,74225.0
2021-12-06,9526.0,9480.0,77875.0
2021-12-03,9513.0,9455.0,78350.0
2021-12-02,9520.0,9421.0,78225.0
2021-12-01,9571.0,9510.0,78625.0
2021-11-30,9605.0,9510.0,76450.0
2021-11-29,9751.0,9610.0,80075.0
2021-11-26,9630.0,9520.0,83800.0
2021-11-25,9932.0,9895.0,82600.0
2021-11-24,9852.0,9790.0,82225.0
2021-11-23,9825.5,9722.0,81600.0
2021-11-22,9730.0,9615.0,86525.0
2021-11-19,9620.5,9545.0,89875.0
2021-11-18,9450.0,9410.0,97600.0
2021-11-17,9495.0,9495.0,99450.0
2021-11-16,9680.0,9650.0,93925.0
2021-11-15,9845.0,9732.0,95700.0
2021-11-12,9854.5,9617.0,100300.0
2021-11-11,9850.0,9630.0,104175.0
2021-11-10,9791.0,9570.0,106125.0
2021-11-09,10002.0,9660.0,109550.0
2021-11-08,9885.0,9540.0,115525.0
2021-11-05,9740.0,9430.0,122600.0
2021-11-04,9785.0,9570.0,123400.0
2021-11-03,9825.0,9590.0,126475.0
2021-11-02,9817.0,9520.0,123925.0
2021-11-01,9875.0,9490.0,131300.0
2021-10-29,9955.0,9620.0,140175.0
2021-10-28,9860.0,9661.0,143650.0
2021-10-27,9849.5,9605.0,153675.0
2021-10-26,9988.0,9805.0,155150.0
2021-10-25,10050.0,9805.5,159800.0
2021-10-22,9992.0,9870.0,161550.0
2021-10-21,10051.0,9935.0,165925.0
2021-10-20,10161.0,9996.0,172025.0
2021-10-19,10652.0,10270.0,178225.0
2021-10-18,10500.0,10275.0,181375.0
2021-10-15,10555.0,10177.0,181400.0
2021-10-14,9971.0,9840.0,187050.0
2021-10-13,9661.0,9560.0,191600.0
2021-10-12,9585.0,9497.0,195250.0
2021-10-11,9527.0,9475.5,197650.0
2021-10-08,9246.0,9236.0,199250.0
2021-10-07,9177.0,9177.0,200575.0
2021-10-06,9096.0,9082.5,202500.0
2021-10-05,9091.5,9090.0,212125.0
2021-10-04,9267.5,9270.0,216725.0
2021-10-01,9113.0,9101.0,217175.0
2021-09-30,9041.0,9021.0,219525.0
2021-09-29,9227.0,9215.5,220875.0
2021-09-28,9263.0,9260.0,226625.0
2021-09-27,9341.0,9328.0,223175.0
2021-09-24,9275.0,9271.0,226175.0
2021-09-23,9252.0,9251.0,226025.0
2021-09-22,9255.0,9246.0,229725.0
2021-09-21,9106.0,9107.0,231075.0
2021-09-20,9145.5,9132.0,239500.0
2021-09-17,9435.5,9457.0,240800.0
2021-09-16,9392.0,9420.0,231200.0
2021-09-15,9488.5,9505.0,234000.0
2021-09-14,9407.0,9416.5,235950.0
2021-09-13,9627.0,9640.0,240350.0
2021-09-10,9515.0,9533.5,233950.0
2021-09-09,9356.5,9381.0,233950.0
2021-09-08,9256.0,9280.0,237700.0
2021-09-07,9325.0,9340.0,242550.0
2021-09-06,9401.5,9412.0,250700.0
2021-09-03,9361.0,9372.0,252225.0
2021-09-02,9347.0,9354.5,252400.0
2021-09-01,9312.0,9310.5,252725.0
2021-08-31,9462.5,9457.5,253000.0
2021-08-27,9352.0,9345.0,254250.0
2021-08-26,9323.0,9315.5,254300.0
2021-08-25,9378.5,9376.0,254300.0
2021-08-24,9316.5,9305.5,254775.0
2021-08-23,9237.0,9221.5,254800.0
2021-08-20,8922.0,8934.0,251450.0
2021-08-19,8775.5,8783.5,245125.0
2021-08-18,9148.5,9168.5,245125.0
2021-08-17,9346.5,9369.5,236325.0
2021-08-16,9377.0,9404.5,235550.0
2021-08-13,9429.5,9463.0,235650.0
2021-08-12,9508.5,9539.0,235775.0
2021-08-11,9421.0,9450.5,235925.0
2021-08-10,9409.5,9435.0,236100.0
2021-08-09,9311.5,9337.5,234925.0
2021-08-06,9529.5,9549.5,235250.0
2021-08-05,9429.0,9446.5,236100.0
2021-08-04,9503.0,9527.5,237025.0
2021-08-03,9583.5,9608.5,238000.0
2021-08-02,9737.0,9767.0,238650.0
2021-07-30,9747.5,9775.0,239650.0
2021-07-29,9781.0,9805.0,235175.0
2021-07-28,9697.0,9719.0,230225.0
2021-07-27,9709.0,9728.5,225225.0
2021-07-26,9580.0,9604.5,225225.0
2021-07-23,9433.5,9461.5,224750.0
2021-07-22,9382.5,9409.0,224250.0
2021-07-21,9271.5,9303.0,224400.0
